,gene_id,abundance
847,NP_414634.1,511
848,NP_417188.4,55
849,NP_415727.1,256
850,NP_416296.1,3328
851,NP_414720.1,8224
852,NP_416520.1,327
853,NP_415841.4,102
854,NP_416680.1,1782
855,NP_418157.1,66
856,NP_418156.1,577
857,NP_416664.1,205
858,NP_418483.1,3612
859,NP_415432.1,5360
860,NP_417491.1,125
861,NP_415705.1,186
862,NP_418813.1,102
863,NP_416159.2,785
864,NP_418558.2,520
865,NP_417314.1,64
866,NP_417026.1,7687
867,NP_417169.1,1085
868,NP_416135.1,139
869,NP_418592.1,80
870,NP_417636.1,1535
871,NP_417760.1,6986
872,NP_417774.1,49717
873,NP_418371.1,8141
874,NP_417635.1,77
875,NP_415651.4,500
876,NP_417099.4,776
877,NP_418601.1,471
878,NP_417085.1,391
879,NP_416101.1,90
880,NP_416821.1,45
881,NP_418664.2,9263
882,NP_415474.1,2067
883,NP_414722.1,4930
884,NP_415930.1,802
885,NP_415787.1,319
886,NP_417319.1,52
887,NP_417059.1,645
888,NP_416384.1,556
889,NP_414959.1,25
890,NP_417513.1,371
891,NP_417887.1,331
892,NP_416743.1,53
893,NP_416410.1,199
894,NP_415717.1,95
895,NP_416672.1,172
896,NP_416596.1,6458
897,NP_416597.1,5671
898,NP_418036.1,10
899,NP_415430.1,950
900,NP_414773.1,3383
901,NP_415055.1,227
902,NP_418748.1,223
903,NP_415184.1,143
904,NP_414571.1,42
905,NP_417848.1,305
906,NP_416219.1,300
907,NP_416967.1,74
908,NP_416529.1,1029
909,NP_417315.1,726
910,NP_415577.1,813
911,NP_414663.1,1040
912,NP_417692.1,81
913,NP_417911.4,220
914,NP_415644.1,249
915,NP_416633.1,118
916,NP_418324.1,134
917,NP_417920.1,250
918,NP_415410.1,33
919,NP_415692.1,2057
920,NP_415442.1,54
921,NP_417820.1,283
922,NP_415210.1,8651
923,NP_415279.1,151
924,NP_417279.2,41
925,NP_415492.1,1
926,NP_415816.1,116
927,NP_415898.1,566
928,NP_417079.1,17
929,NP_414838.2,18
930,NP_418586.4,509
931,NP_415500.1,9
932,NP_414755.1,1704
933,NP_417905.1,107
934,NP_418010.2,1714
935,NP_416802.1,1419
936,NP_415567.1,84
937,YP_026253.1,116
938,NP_415941.5,93
939,NP_414701.1,2180
940,NP_415635.4,500
941,NP_418770.2,4
942,NP_414669.1,272
943,NP_415434.1,152
944,NP_418280.4,2477
945,NP_417479.1,819
946,NP_417063.1,147
947,NP_414943.1,465
948,NP_417306.1,42
949,NP_416720.1,33
950,NP_418774.2,14
951,NP_415222.1,59
952,NP_415113.1,53
953,NP_415425.4,437
954,NP_415697.4,127
955,NP_415774.1,270
956,NP_416054.1,110
957,NP_416183.1,42
958,NP_416301.1,438
959,NP_416360.1,480
960,NP_416584.4,386
961,NP_417397.1,948
962,NP_417496.1,1669
963,NP_418295.1,2511
964,NP_415105.1,29517
965,NP_417274.1,59
966,NP_416608.1,494
967,NP_417639.6,609
968,NP_418655.1,166
969,NP_417514.4,1520
970,NP_418363.1,10839
971,NP_416989.1,177
972,NP_416713.1,214
973,NP_417695.1,353
974,NP_415212.1,204
975,NP_415287.1,352
976,NP_416803.3,907
977,NP_416807.1,95
978,NP_417426.1,208
979,NP_417896.1,81
980,NP_417984.1,116
981,NP_417650.1,418
982,NP_415487.4,172
983,NP_414958.4,370
984,NP_416970.1,126
985,NP_417619.1,754
986,NP_417577.1,33
987,YP_026267.1,854
988,NP_415586.1,39
989,NP_417230.1,834
990,NP_417950.1,208
991,NP_416173.1,4213
992,NP_416163.1,346
993,NP_418628.4,4381
994,NP_415422.1,189
995,NP_417083.1,119
996,NP_416804.1,191
997,NP_418049.1,637
998,NP_418228.2,20951
999,NP_417207.1,24
1000,NP_416280.1,53
1001,NP_416400.1,2
1002,NP_416178.1,71
1003,NP_415708.1,28
1004,NP_416544.1,761
1005,NP_417963.4,552
1006,NP_417981.2,16
1007,YP_026228.1,344
1008,NP_418583.1,14
1009,NP_415768.1,108
1010,YP_026237.1,9
1011,NP_416181.1,85
1012,NP_414968.4,4572
1013,NP_414998.1,7
1014,NP_415618.1,43
1015,NP_417213.1,39
1016,NP_415213.1,1357
1017,NP_414793.1,56
1018,NP_417540.1,241
1019,NP_417368.1,5
1020,NP_417423.4,410
1021,NP_418373.1,990
1022,NP_417689.4,7
1023,NP_415338.1,148
1024,NP_414947.1,211
1025,NP_414806.1,37
1026,NP_415722.1,733
1027,NP_417775.1,19008
1028,NP_417537.1,28385
1029,NP_417098.1,121
1030,NP_414600.1,118
1031,NP_415783.6,706
1032,NP_417713.2,85
1033,NP_417721.1,2574
1034,NP_417321.2,19
1035,NP_417594.3,27
1036,NP_415295.1,139
1037,NP_417644.4,223
1038,NP_416765.1,558
1039,NP_415304.1,316
1040,NP_416155.1,302
1041,NP_414566.1,160
1042,NP_416931.1,116
1043,NP_414948.1,194
1044,NP_416437.1,109
1045,NP_416364.1,3635
1046,NP_418725.4,5
1047,NP_414805.1,25
1048,NP_417082.1,124
1049,NP_417597.1,9
1050,NP_418360.1,187
1051,NP_417983.2,547
1052,NP_416033.1,85
1053,NP_418028.1,23
1054,NP_416910.1,24850
1055,NP_418535.1,268
1056,NP_417671.1,861
1057,NP_418588.1,48
1058,NP_418105.1,437
1059,NP_415616.1,204
1060,NP_416997.1,31
1061,NP_417429.1,677
1062,NP_418064.1,400
1063,NP_416281.1,554
1064,NP_414802.2,42
1065,NP_416793.1,100
1066,NP_416880.1,93
1067,NP_416262.1,44
1068,NP_415330.1,698
1069,NP_415349.1,67
1070,NP_415845.2,67
1071,NP_417163.1,29
1072,NP_415958.1,24
1073,NP_418070.6,57
1074,NP_418329.1,4
1075,NP_418065.1,327
1076,NP_416784.1,294
1077,NP_416167.1,99
1078,NP_415406.1,77
1079,NP_415407.1,60
1080,,1960
1081,NP_418461.1,240
1082,NP_416127.1,18
1083,NP_415386.1,1344
1084,NP_417568.2,503
1085,NP_418820.1,70
1086,NP_418301.3,1218
1087,NP_417292.1,48
1088,NP_417170.1,44
1089,NP_415806.1,30
1090,NP_415316.1,81
1091,NP_418144.3,107
1092,YP_026277.1,328
1093,NP_414591.1,57
1094,NP_417066.1,91
1095,NP_418305.1,66
1096,NP_417262.1,227
1097,NP_416409.1,260
1098,NP_418358.1,320
1099,NP_416697.1,251
1100,NP_416346.4,1051
1101,NP_415014.1,519
1102,NP_415773.1,309
1103,NP_416298.1,20
1104,NP_416490.1,2098
1105,NP_416484.2,431
1106,NP_415445.1,65
1107,NP_418346.2,74
1108,NP_418427.1,100
1109,NP_416193.1,516
1110,NP_418290.4,108
1111,NP_418480.1,200
1112,NP_418811.2,415
1113,NP_414644.1,294
