gene_id,abundance
NP_415606.1,1173
NP_415843.2,48
NP_415563.1,69
NP_417175.1,159
NP_418589.1,914
NP_414885.1,256
NP_415698.1,103
NP_415620.1,19
NP_418181.1,113
NP_415011.1,86
NP_417926.1,12
NP_418067.1,4265
NP_418142.1,363
NP_418640.1,687
NP_417223.1,188
NP_418223.1,1088
NP_417110.1,330
NP_417702.1,74
NP_416171.1,6421
NP_415475.1,39
NP_417257.1,192
NP_416568.1,25
NP_414626.1,11
NP_415411.2,716
NP_414723.1,974
NP_414724.1,31
NP_418654.1,353
NP_414632.1,92
NP_414945.1,1329
NP_416536.1,61
NP_417664.1,84
NP_415399.4,32
NP_416848.1,344
NP_416635.1,118
NP_418078.1,62
YP_026255.1,41
NP_418196.1,409
NP_418232.2,140
NP_415482.1,38
NP_418428.1,132932
NP_417075.1,113
YP_026280.1,147
NP_417502.1,39
NP_417004.1,35
YP_026222.1,577
NP_414880.2,11
NP_418423.1,239
NP_415039.1,206
NP_417194.2,17
YP_026246.1,73
NP_417068.1,389
NP_414928.2,201
NP_417745.1,886
NP_417725.1,201
NP_414939.1,415
NP_417772.1,33115
NP_417763.1,6146
NP_417653.1,7358
NP_417756.1,10769
NP_417801.1,2322
NP_417100.1,65082
NP_414564.1,28843
NP_416833.4,1405
NP_417088.1,2154
NP_414593.1,253
NP_415947.1,224
NP_417741.1,414
NP_415726.1,186
NP_417226.1,1486
NP_415299.1,440
NP_415297.1,72
NP_414590.1,295
NP_416806.1,1182
NP_418303.2,77
NP_417069.1,30
NP_416224.1,63
NP_415306.1,458
NP_415373.1,50
NP_418512.1,19
NP_418204.2,177
NP_417845.1,524
NP_417980.1,467
NP_417043.1,24
NP_418659.1,30
NP_416894.1,122
NP_415056.1,3610
NP_417161.1,14
NP_415621.3,1990
NP_417054.2,26
NP_417048.1,1276
NP_416168.1,1966
NP_416530.1,1903
NP_416809.1,142
NP_417165.1,786
NP_415141.1,19
NP_415443.2,340
NP_418630.1,6
NP_417985.1,37
NP_418359.1,184
NP_417814.1,173
NP_416279.1,2013
NP_418292.1,106
NP_418007.3,31
NP_415414.4,1
NP_418577.1,165
NP_418051.1,31
NP_417521.1,27
NP_414993.1,198
NP_415696.1,485
NP_414738.1,779
NP_415342.1,56
NP_415963.1,380
NP_416416.2,460
NP_417433.1,171
NP_418059.1,1538
NP_417857.1,41
NP_418390.1,53
YP_026254.1,111
NP_415807.1,23
NP_415265.1,268
NP_418347.1,45
NP_415850.1,609
NP_416007.3,7
NP_416870.1,52
NP_416424.1,123
NP_416494.1,69
NP_417023.1,1451
NP_414821.1,651
NP_414987.3,4627
NP_415061.2,408
NP_415164.1,4131
NP_415767.2,2116
NP_416306.2,221
NP_416389.4,281
NP_416628.1,33
NP_414938.1,22
NP_416247.1,39
NP_418469.1,454
NP_418481.1,415
NP_417569.1,9434
NP_415803.2,70
NP_417373.1,190
NP_417386.1,813
NP_417844.1,738
NP_414758.1,59
NP_415553.1,678
NP_416055.1,12
NP_416141.4,53
NP_416464.1,39
NP_417625.1,628
NP_417291.1,196
NP_414748.1,282
NP_414688.1,43
NP_418637.1,44
NP_417949.1,53
NP_418502.1,128
NP_417180.1,87
NP_416381.2,18
NP_416201.1,313
NP_418264.4,107
YP_025309.2,77
NP_418710.4,11
NP_415286.1,6
NP_415737.1,2021
NP_417748.1,42
NP_416012.1,1
NP_418707.1,14
NP_418470.4,70
NP_415137.2,130
NP_416343.1,451
NP_418141.2,20
NP_414569.1,1255
NP_418806.1,39
NP_416321.1,105
NP_414638.1,131
NP_417716.1,51
NP_417749.1,1409
NP_418402.2,67
NP_415166.1,290
NP_416320.1,73
NP_415174.1,307
NP_418627.4,194
NP_418632.1,269
NP_418641.1,36
NP_414761.1,260
NP_414974.1,41918
NP_418591.1,8
NP_418258.1,31
NP_414956.1,921
NP_417506.1,139
NP_415851.1,57
NP_415318.1,25
NP_416962.1,2491
NP_416337.1,58803
NP_415401.1,1247
NP_415156.1,17168
NP_417454.1,19
NP_416792.1,18
NP_417693.3,117
NP_417938.1,541
NP_415917.1,11
NP_414655.1,102
NP_416662.1,122
NP_417600.1,30
NP_418320.2,39
NP_418061.1,17
NP_415258.1,54
NP_417153.1,143
NP_417751.1,26
NP_417528.1,64
NP_415404.1,4495
NP_415729.1,231
